,tweetid,username,content
0,1230821787362975745,anjalibhate,"#Election Commission,# PMO, #Narendra Modi,#PC Mohan,#BJP\nJust a thought\nWhy not make the voter ID mandatory too. J\u2026 https://t.co/8HjaImFHaP"
1,1230819731604553730,AnilThakur_,"Modi\u2019s CAA speech was full of sound and fury, signifying nothing. Firstpost amplified it https://t.co/3UPcKZhCIs\u2026 https://t.co/OPNIbLqMfI"
2,1230763380954161154,IASadityarana,"RT @FinancialXpress: While Prime Minister #Narendra Modi\u2019s #SwachhBharat got enthusiastic participation and generous contribution in India,\u2026"
3,1230762746800590850,FinancialXpress,While Prime Minister #Narendra Modi\u2019s #SwachhBharat got enthusiastic participation and generous contribution in Ind\u2026 https://t.co/teTYtEOjlx
4,1230540046253449219,AkAdigowda3,RT @Amitjaat01: #Sidhearts Who \u2764\ufe0f\u2764\ufe0f love Our  Pm Mr.#Narendra Modi\nplzzzzx RT and #Follow me.....If u really lv modi g\n#NaMo \n@narendramodi\u2026
5,1230538399360147457,himanshu7256,RT @Amitjaat01: #Sidhearts Who \u2764\ufe0f\u2764\ufe0f love Our  Pm Mr.#Narendra Modi\nplzzzzx RT and #Follow me.....If u really lv modi g\n#NaMo \n@narendramodi\u2026
6,1230537472943251456,Amitjaat01,#Sidhearts Who \u2764\ufe0f\u2764\ufe0f love Our  Pm Mr.#Narendra Modi\nplzzzzx RT and #Follow me.....If u really lv modi g\n#NaMo\u2026 https://t.co/gyQbARqlUb
7,1230154954771271681,ndtcdoctor,The moment when I was Happy&amp; Surprised at the same time.Was fortunate enough to meet Prime Minister Narendra Modi a\u2026 https://t.co/a1KsHHpC3j
8,1230077571309568005,Sreeniv,RT @Sreeniv: Win-Win For Trump And Modi https://t.co/52B4uwVXub #Narendra Modi #Donald Trump #Foreign policy #bilateral relations #Gujarat\u2026
9,1230014558011478016,Sreeniv,Win-Win For Trump And Modi https://t.co/52B4uwVXub #Narendra Modi #Donald Trump #Foreign policy #bilateral relation\u2026 https://t.co/DwurPKV9An
10,1229973414602919937,dennisckurian,RT @sweposten: @RashtraSanyukt @ParveenKader @DickDarryl @Tamil1947 @judedavid21 @RK_Insight @asmatasleem11 @dennisckurian @Deep4IND @mujwo\u2026
11,1229887815376351234,sweposten,@RashtraSanyukt @ParveenKader @DickDarryl @Tamil1947 @judedavid21 @RK_Insight @asmatasleem11 @dennisckurian\u2026 https://t.co/vcGLKELrQa
12,1229887503320190976,sweposten,@drshamamohd 45 Poor families served notice to vacate from the sight of #US presidents view by\n\n\u201cGAREB MAA KA BETA\u201d\u2026 https://t.co/lLDlPC4QuI
13,1229132389068075008,shenoy_amit,#Narendra #Modi #Putin #DonaldTrump #AngelaMerkel #BorisJohnson #EmmanuelMacron and other world premium dignitaries\u2026 https://t.co/hkfs9ZMRtW
14,1228786076631715840,isrgrajan,Important life lessons one can learn from Narendra Modi\n\nSee: https://t.co/tj4HI8sHco\n\n@isrgrajan\u2026 https://t.co/ykRI1irULS
